thai,english,parts,n_parts,n_glossed,score_A,score_B,score_C
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
สวนสัตว์,zoo,สวน+สัตว์,2,2,0.3062285154135184,0.18154621124267578,0.6067322200129658
หน้าต่าง,window,หน้า+ต่าง,2,2,0.3089737863805687,0.17098631512955548,0.5222154795118952
ทุเรียน,durian,ทุ+เรียน,2,2,0.3140114577666484,0.166429340839386,0.9377812800317058
ทุเรียน,durian,ทุ+เรียน,2,2,0.3140114577666484,0.166429340839386,0.9377812800317058
มีหมอก,foggy,มี+หมอก,2,2,0.3184181975085947,0.2712191504966706,0.7515151181648082
มีหมอก,foggy,มี+หมอก,2,2,0.3184181975085947,0.2712191504966706,0.7515151181648082
ครอบครัว,family,ครอบ+ครัว,2,2,0.32149158594363425,0.14649364608450433,0.5584438966060108
ครอบครัว,family,ครอบ+ครัว,2,2,0.32149158594363425,0.14649364608450433,0.5584438966060108
ลำไย,longan,ลำ+ไย,2,2,0.32312581758769154,0.13394301437991943,0.9518691626212226
ลำไย,longan,ลำ+ไย,2,2,0.32312581758769154,0.13394301437991943,0.9518691626212226
วันสงกรานต์,Songkran; Thai New Year,วัน+สงกรานต์,2,2,0.32429801691039023,0.24105769395828247,0.7211206327801764
สี่แยก,"intersection, four-way junction",สี่+แยก,2,2,0.32672807369938944,0.37213961745972707,0.8926091433134283
ไม่เป็นไร,"it's ok, no problem",ไม่+เป็นไร,2,2,0.33288598445476525,0.4252912655646363,0.6842608789424074
รสจัด,strong; intense taste,รส+จัด,2,2,0.3399024080517663,0.31192266941070557,0.9247062602646652
คะน้า,kale,คะ+น้า,2,2,0.3413362593974198,0.23484678656776198,0.994489044702032
คะน้า,kale,คะ+น้า,2,2,0.3413362593974198,0.23484678656776198,0.994489044702032
ตกใจ,"to be frightened, to be shocked",ตก+ใจ,2,2,0.3455301669685304,0.35220364954515093,0.6788154241378416
ตอนเย็น,evening,ตอน+เย็น,2,2,0.35274382673472204,0.14227765798568726,0.4881473828297579
ตอนเย็น,evening,ตอน+เย็น,2,2,0.35274382673472204,0.14227765798568726,0.4881473828297579
กำลัง,verb+ing,กำ+ลัง,2,2,0.35341018093450055,0.13519243211701107,0.8433711481094747
แนะนำ,recommend; suggest,แนะ+นำ,2,2,0.35401261099343406,0.26074427366256714,0.8926208812392868
วันพระ,Buddhist holiday,วัน+พระ,2,2,0.35657710542999815,0.18361102743280197,0.9379747656559481
น้องชาย,younger brother,น้อง+ชาย,2,2,0.3620094703820574,0.3129151053974095,0.8669446597451106
น้องชาย,younger brother,น้อง+ชาย,2,2,0.3620094703820574,0.3129151053974095,0.8669446597451106
ตีสาม,3 a.m.,ตี+สาม,2,2,0.36553358929223445,0.2648390233516693,0.7086213990363257
ตีสาม,3 a.m.,ตี+สาม,2,2,0.36553358929223445,0.2648390233516693,0.7086213990363257
กำลัง,currently; -ing,กำ+ลัง,2,2,0.36629494331972695,0.19170801688981093,0.8433711481094747
จักรยาน,bicycle,จักร+ยาน,2,2,0.3673785779524322,0.22708210349082947,0.4014558694779912
จักรยาน,bicycle,จักร+ยาน,2,2,0.3673785779524322,0.22708210349082947,0.4014558694779912
รถเครื่อง,motorcycle,รถ+เครื่อง,2,2,0.36902649445206576,0.27100108689076224,0.8989293563538628
รถเครื่อง,motorcycle,รถ+เครื่อง,2,2,0.36902649445206576,0.27100108689076224,0.8989293563538628
ตีหนึ่ง,1 a.m.,ตี+หนึ่ง,2,2,0.3705893224769184,0.25641293861943115,0.8698182829855727
ตีหนึ่ง,1 a.m.,ตี+หนึ่ง,2,2,0.3705893224769184,0.25641293861943115,0.8698182829855727
ตุลาคม,October,ตุลา+คม,2,2,0.37076845438252526,0.14952659606933594,0.6423221972373317
ตุลาคม,October,ตุลา+คม,2,2,0.37076845438252526,0.14952659606933594,0.6423221972373317
ไม่เป็นไร,"never mind, it's okay",ไม่+เป็นไร,2,2,0.3749847016070306,0.48612576723098755,0.6842608789424074
น้ำอัดลม,soft drink; soda,น้ำ+อัดลม,2,2,0.3752028605793176,0.33864976994095863,0.7844964349228667
ขอบใจ,thank you,ขอบ+ใจ,2,2,0.37952849379557846,0.2065812919486339,0.7033770289092104
นานไหม,How long does it take,นาน+ไหม,2,2,0.3843419045516284,0.33335234721615,0.7663621427649343
ไว้ใจ,to trust,ไว้+ใจ,2,2,0.3843472978140966,0.31175390622066335,0.6691904079246854
เที่ยงวัน,"12 p.m., noon",เที่ยง+วัน,2,2,0.38456514974144773,0.3876418471336365,0.7631999952220971
เที่ยงวัน,"12 p.m., noon",เที่ยง+วัน,2,2,0.38456514974144773,0.3876418471336365,0.7631999952220971
หวัดดี,"hi, informal greeting",หวัด+ดี,2,2,0.38633555325784147,0.25667503476142883,0.9336764363724036
มะม่วง,mango,มะ+ม่วง,2,2,0.386694768196835,0.30743467807769775,0.6194104047587299
มะม่วง,mango,มะ+ม่วง,2,2,0.386694768196835,0.30743467807769775,0.6194104047587299
ตีห้า,5 a.m.,ตี+ห้า,2,2,0.39118047191266114,0.3112868666648865,0.8527008003372862
ตีห้า,5 a.m.,ตี+ห้า,2,2,0.39118047191266114,0.3112868666648865,0.8527008003372862
โรงแรม,hotel,โรง+แรม,2,2,0.3932276927508988,0.29014939069747925,0.4521087995236434
